Total Word Count,2024: 13144 (File 1),2025: 21695 (File 2),,
Word,2024 (%),2025 (%),Difference (%),Grouped
ai,12.38,12.18,-0.20,
model,6.07,6.47,0.40,"models, models"
generalpurpose,6.41,5.09,-1.32,
system,5.22,4.60,-0.62,"systems, systems"
risk,2.99,5.84,2.85,"risks, risks"
data,2.55,3.36,0.81,
report,2.96,1.11,-1.85,
language,2.01,1.75,-0.26,
capabilities,1.67,1.97,0.30,
training,1.51,1.92,0.41,
safety,1.86,1.13,-0.73,
international,1.96,0.84,-1.12,
conference,1.70,1.06,-0.65,
learning,1.60,1.09,-0.51,
information,1.20,1.35,0.14,
large,1.13,1.19,0.06,
research,1.10,1.21,0.11,
human,0.97,1.12,0.15,
could,1.19,0.83,-0.36,
may,0.93,1.05,0.12,
new,0.56,1.26,0.70,
tasks,0.62,1.05,0.43,
methods,0.75,0.88,0.13,
content,0.53,1.05,0.51,
advanced,1.55,0.00,-1.55,
development,0.72,0.83,0.12,
machine,0.81,0.65,-0.16,
association,0.91,0.56,-0.34,
technical,0.57,0.87,0.30,
performance,0.80,0.64,-0.16,
scientific,1.42,0.00,-1.42,
2021,0.87,0.53,-0.34,
potential,0.71,0.66,-0.04,
neural,0.80,0.52,-0.28,
processing,0.72,0.57,-0.16,
developers,0.50,0.77,0.27,
interim,1.26,0.00,-1.26,
current,0.58,0.68,0.10,
privacy,0.52,0.73,0.22,
bias,0.64,0.60,-0.04,
researchers,0.58,0.59,0.01,
access,0.49,0.68,0.19,
control,0.44,0.70,0.26,
zhang,0.57,0.57,-0.00,
intelligence,0.56,0.57,0.01,
artificial,0.58,0.55,-0.03,
challenges,0.40,0.72,0.32,
wang,0.54,0.55,0.01,
techniques,0.56,0.53,-0.03,
malicious,0.51,0.57,0.06,
future,0.59,0.48,-0.11,
computing,0.64,0.44,-0.20,
computational,0.59,0.48,-0.11,
understanding,0.59,0.44,-0.15,
management,0.00,1.03,1.03,
cscl,0.44,0.58,0.14,
technology,0.44,0.56,0.12,
agents,0.40,0.60,0.20,
see,0.39,0.61,0.22,
including,0.45,0.54,0.10,
using,0.39,0.59,0.21,
key,0.39,0.58,0.19,
across,0.38,0.58,0.20,
users,0.40,0.56,0.15,
scaling,0.49,0.47,-0.02,
li,0.49,0.45,-0.05,
chen,0.49,0.44,-0.05,
impact,0.00,0.93,0.93,impacts
work,0.40,0.53,0.13,
compute,0.49,0.43,-0.06,
one,0.40,0.49,0.10,
recent,0.44,0.45,0.01,
evidence,0.00,0.85,0.85,
energy,0.00,0.83,0.83,
even,0.40,0.42,0.02,
different,0.38,0.42,0.04,
fairness,0.72,0.00,-0.72,
general,0.62,0.00,-0.62,
approaches,0.00,0.61,0.61,
2020,0.61,0.00,-0.61,
make,0.00,0.56,0.56,
companies,0.00,0.56,0.56,
usa,0.00,0.55,0.55,
open,0.00,0.55,0.55,
progress,0.54,0.00,-0.54,
process,0.00,0.53,0.53,
harmful,0.00,0.51,0.51,
might,0.51,0.00,-0.51,
purpose,0.50,0.00,-0.50,
security,0.00,0.50,0.50,
market,0.00,0.49,0.49,
assessment,0.00,0.47,0.47,
science,0.00,0.47,0.47,
since,0.00,0.47,0.47,
computer,0.00,0.47,0.47,
monitoring,0.00,0.47,0.47,
mitigation,0.00,0.47,0.47,
eg,0.00,0.47,0.47,
neurips,0.46,0.00,-0.46,
linguistics,0.46,0.00,-0.46,
