Word,2024 (%),2025 (%),Difference (%),Grouped
ai,12.38,12.18,-0.20,
model,6.07,6.47,0.40,
generalpurpose,6.41,5.09,-1.32,
system,5.22,4.60,-0.62,
risk,2.99,5.84,2.85,
data,2.55,3.36,0.81,
language,2.01,1.75,-0.26,
capabilities,1.67,1.97,0.30,
training,1.51,1.92,0.41,
safety,1.86,1.13,-0.73,
international,1.96,0.84,-1.12,
learning,1.60,1.09,-0.51,
information,1.20,1.35,0.14,
human,0.97,1.12,0.15,
new,0.56,1.26,0.70,
development,0.72,0.83,0.12,
machine,0.81,0.65,-0.16,
neural,0.80,0.52,-0.28,
privacy,0.52,0.73,0.22,
bias,0.64,0.60,-0.04,
access,0.49,0.68,0.19,
control,0.44,0.70,0.26,
intelligence,0.56,0.57,0.01,
artificial,0.58,0.55,-0.03,
challenges,0.40,0.72,0.32,
malicious,0.51,0.57,0.06,
future,0.59,0.48,-0.11,
computing,0.64,0.44,-0.20,
computational,0.59,0.48,-0.11,
understanding,0.59,0.44,-0.15,
technology,0.44,0.56,0.12,
agents,0.40,0.60,0.20,
users,0.40,0.56,0.15,
scaling,0.49,0.47,-0.02,
compute,0.49,0.43,-0.06,

